age,educ,sex
18,16,1
19,18,2
19,18,2
20,19,1
88,11,1
20,19,1
18,16,1
19,18,2
19,19,1
18,18,2
18,18,2
88,19,1
19,18,1
18,16,1
47,17,2
61,18,1
16,13,2
21,19,1
95,18,2
18,16,1
84,21,2
18,18,2
19,19,1
70,21,1
95,20,2
18,16,1
48,18,1
18,16,2
19,18,1
21,16,1
61,18,1
50,16,1
21,19,2
88,21,1
76,16,1
18,18,1
19,18,2
78,19,2
18,18,2
18,16,1
90,18,2
19,19,1
47,17,2
19,16,2
29,18,2
20,19,1
40,19,2
77,16,2
19,18,2
19,19,2
20,19,1
23,19,2
43,17,1
89,16,2
61,18,1
40,16,2
20,14,1
18,18,2
19,19,2
82,16,2
46,19,1
95,20,2
21,14,1
19,19,1
79,19,2
19,18,1
19,18,2
20,19,1
24,12,1
23,11,1
19,18,1
18,19,1
84,16,2
8,3,1
19,19,1
11,7,1
88,16,2
95,21,2
19,11,1
19,19,1
19,19,1
19,16,2
8,3,1
25,19,1
95,11,1
95,16,2
65,16,1
19,18,1
18,19,2
95,16,2
47,21,1
19,19,1
65,16,1
95,23,1
82,16,2
21,19,2
48,16,1
62,16,1
25,17,1
79,16,2
38,17,1
18,18,2
20,19,2
39,17,1
65,16,1
65,16,2
20,19,2
79,16,2
86,16,1
19,18,2
15,11,2
31,16,1
86,16,2
95,20,2
28,20,2
89,13,2
63,16,2
83,13,1
64,17,2
45,16,1
86,16,1
18,16,2
80,22,2
85,20,2
4,1,1
86,11,2
21,19,1
19,19,1
16,12,2
95,21,2
52,16,1
40,16,2
32,18,1
19,17,1
18,19,2
21,18,1
88,21,1
65,16,1
31,13,2
21,19,1
20,17,2
24,16,2
21,19,2
88,11,1
19,19,2
23,21,1
20,19,2
49,17,1
18,16,2
18,16,2
95,16,2
19,19,1
84,16,2
54,14,1
18,16,2
95,16,2
59,18,1
19,19,2
86,16,2
95,20,2
19,19,1
77,12,1
61,16,1
21,19,1
50,16,1
62,16,1
33,19,1
51,17,1
28,20,2
24,12,1
80,16,2
48,16,1
33,19,1
90,23,2
26,13,1
22,19,1
19,19,2
91,16,2
20,19,2
29,17,1
49,20,1
65,11,1
19,19,1
19,19,2
90,23,2
20,19,1
47,21,1
34,17,1
95,16,2
21,16,1
19,15,1
19,18,2
30,13,2
68,16,1
20,19,1
20,16,1
77,16,1
91,24,2
54,12,2
27,17,2
60,16,2
91,16,2
19,18,2
18,16,1
78,16,2
26,16,1
28,20,1
86,16,1
86,16,2
21,19,2
18,14,1
18,17,1
21,19,1
21,18,1
20,19,1
89,21,2
34,19,2
33,17,1
19,11,1
48,18,1
95,16,2
27,17,2
73,16,2
16,13,2
34,15,1
61,19,1
47,17,2
20,19,1
19,19,2
84,21,2
36,17,2
67,16,1
63,16,2
20,19,2
62,16,1
84,18,1
19,19,1
95,20,2
49,17,1
18,17,1
18,18,1
48,16,1
60,20,2
21,16,1
31,16,1
19,19,2
20,19,1
21,19,2
19,19,1
20,19,1
91,24,2
78,16,2
19,18,2
18,16,1
20,19,1
18,16,1
19,18,2
21,19,2
29,17,1
19,19,1
86,16,1
19,19,1
95,20,2
21,19,2
19,19,1
91,13,1
79,22,2
20,18,2
30,13,1
35,21,1
73,21,2
26,12,1
50,16,1
19,19,1
22,19,1
19,18,2
18,18,2
95,16,2
18,19,1
63,16,2
15,11,2
79,21,2
19,19,2
60,20,2
19,16,2
31,16,1
18,18,2
75,15,2
58,16,1
79,21,2
32,19,1
87,16,2
58,11,2
54,16,2
21,19,2
95,19,2
19,19,1
19,19,2
54,14,1
18,18,2
20,19,1
28,17,2
22,19,1
19,18,2
42,19,1
95,16,2
86,16,2
88,16,2
11,7,1
21,18,1
65,16,1
45,16,1
40,16,2
19,19,1
37,18,1
18,18,1
73,16,2
70,11,1
23,21,1
18,16,2
11,7,1
23,11,1
76,21,2
89,13,2
19,19,2
78,19,2
18,18,1
34,19,2
19,19,2
88,21,1
26,17,1
80,22,1
11,7,1
19,19,2
10,7,2
18,18,2
20,19,1
18,18,2
23,17,1
76,16,1
20,15,1
58,17,2
18,16,1
28,16,1
79,21,2
65,19,1
18,16,2
95,11,1
20,19,1
18,18,2
18,18,2
20,18,2
88,18,2
40,19,1
90,16,2
8,3,1
20,19,1
61,18,1
36,20,1
83,21,1
20,19,2
95,21,2
20,19,1
23,11,1
38,21,2
19,17,2
20,19,1
24,16,1
19,19,2
31,20,2
18,16,1
8,3,1
19,16,1
18,18,2
57,23,1
91,16,2
20,16,2
19,17,1
23,19,1
19,19,2
19,18,1
29,18,2
18,18,2
67,16,1
54,14,1
74,16,2
65,11,1
87,18,2
20,19,1
70,11,1
17,14,1
54,14,1
20,19,2
26,17,1
36,17,2
34,19,2
21,19,2
19,19,2
54,14,1
28,17,2
35,17,1
29,18,2
16,13,2
55,19,1
18,16,1
19,18,2
20,19,2
95,20,2
90,16,2
20,19,2
63,16,1
18,16,2
87,20,2
50,16,1
75,17,1
16,13,2
82,19,2
19,19,1
20,19,1
19,19,2
15,11,2
19,18,2
22,19,1
19,19,1
28,17,2
51,17,1
84,10,2
15,11,2
13,10,2
63,10,1
20,19,2
91,18,2
95,18,2
18,16,1
91,16,2
19,19,1
86,11,1
18,16,2
86,16,1
84,16,2
95,11,2
22,19,1
49,20,1
32,20,2
82,19,2
20,19,2
20,19,2
21,16,1
19,18,1
79,16,2
19,18,2
28,15,1
63,10,1
75,19,1
18,18,2
75,17,1
18,18,2
41,17,1
18,16,2
95,20,2
18,19,2
48,16,1
28,20,1
18,18,1
61,16,1
62,18,1
19,18,1
54,17,1
24,16,2
65,16,2
80,22,2
20,19,1
26,12,1
40,16,2
87,16,2
18,18,2
29,17,1
27,17,1
21,18,1
54,17,1
19,19,1
89,21,2
54,16,2
95,16,2
27,17,1
28,20,1
51,17,1
87,19,2
32,19,1
95,11,1
19,19,2
19,18,2
89,16,2
56,22,2
18,18,2
49,17,1
20,16,2
80,16,2
95,16,2
47,19,2
47,18,1
26,19,1
48,16,1
51,19,1
51,19,2
20,19,2
56,21,1
54,20,2
59,20,2
60,16,1
30,21,2
29,21,1
58,20,1
59,16,2
23,14,2
4,2,1
1,,1
22,16,2
32,21,2
24,16,1
40,20,1
25,16,1
25,21,1
66,19,1
59,16,2
41,20,1
38,20,2
5,2,2
18,14,1
15,12,1
49,21,1
56,21,2
18,14,2
15,12,1
21,20,2
64,22,2
77,16,1
76,16,2
38,22,2
13,10,2
9,7,1
35,16,1
35,19,2
13,10,1
11,8,2
9,6,1
24,20,1
0,,1
24,12,2
43,21,1
41,20,2
19,15,1
70,21,2
71,18,1
73,18,2
21,19,2
21,19,1
53,16,2
68,19,1
29,1,1
27,16,1
80,19,2
45,19,2
71,21,1
42,16,1
50,20,2
16,12,1
48,16,1
44,16,2
51,21,2
45,19,1
69,16,2
53,16,1
56,19,1
52,20,2
61,21,1
83,16,1
27,23,1
82,21,1
40,16,1
56,21,2
59,19,1
34,18,1
34,20,2
8,4,2
4,2,1
1,,1
65,19,2
65,16,1
64,19,2
75,21,2
49,16,1
37,19,2
59,15,1
62,16,2
10,8,1
82,21,1
79,16,2
79,16,2
40,21,1
47,21,2
5,1,1
17,13,1
12,8,1
67,20,2
64,23,1
91,16,1
32,19,1
0,,1
22,17,2
39,20,1
39,21,2
13,10,2
10,7,1
1,,1
37,22,2
40,16,1
14,10,1
5,1,2
9,6,2
44,20,1
14,11,2
12,9,2
10,7,1
32,21,2
9,6,2
7,4,2
44,14,1
52,20,2
52,19,1
15,12,2
33,20,1
4,2,1
62,20,2
67,21,1
60,14,1
33,20,2
27,19,2
7,3,1
78,16,1
54,16,2
64,21,2
35,20,2
38,22,2
38,19,1
13,10,1
9,6,2
1,,1
54,21,1
33,20,1
27,21,2
0,,2
58,21,2
65,20,1
63,17,2
80,19,1
73,19,1
65,16,2
63,16,1
63,16,2
39,16,2
44,21,1
25,16,2
31,17,1
63,16,1
62,16,2
42,20,1
60,16,2
86,21,1
13,10,2
51,19,1
51,16,1
53,16,2
20,19,2
18,14,2
17,13,1
56,16,1
35,19,2
9,6,1
8,4,1
6,3,1
64,16,2
64,21,1
73,17,2
79,16,1
53,19,2
62,19,1
21,19,1
17,12,1
34,14,2
44,20,2
16,13,1
45,16,1
71,15,1
48,16,2
88,16,2
82,16,1
38,19,1
50,19,2
67,20,2
76,19,1
27,20,1
25,20,2
48,19,2
49,19,1
46,18,1
41,18,2
10,6,2
3,1,1
1,,2
1,,2
56,21,2
56,21,1
61,16,1
66,18,2
65,18,1
63,16,1
59,16,2
29,1,1
30,16,2
9,7,1
8,6,1
7,4,1
5,3,1
3,1,2
2,,2
0,,1
69,16,1
56,16,2
53,19,2
31,17,1
21,17,1
57,14,2
77,11,2
66,16,2
66,15,1
79,16,1
70,18,2
69,16,2
31,14,2
18,14,1
13,9,2
0,,2
41,18,2
26,16,2
62,11,2
65,11,1
28,11,1
20,11,2
52,20,1
56,21,2
23,20,1
28,19,2
31,21,1
5,1,1
0,,1
58,18,2
58,18,1
71,19,1
67,20,2
50,20,2
25,19,1
75,11,1
74,16,2
41,21,2
41,21,1
10,7,1
7,5,2
76,19,1
74,19,2
72,15,2
60,21,2
57,21,1
85,18,2
37,16,1
14,11,1
9,6,1
50,18,1
51,20,2
66,18,2
32,13,2
25,19,1
21,17,2
72,21,2
82,22,1
57,16,1
57,21,2
20,19,2
40,21,2
35,21,1
34,21,2
9,6,2
6,3,2
4,1,2
2,,1
1,,2
67,21,2
65,21,1
29,21,1
